Locality,Interior_SqFt,Distance_To_Main_Road,Num_Bedrooms,Num_Bathrooms,Total_Rooms,Sale_Condition,Parking_Facility,Building_Type,Utilities_Available,Street_Type,Zoning_Type,Quality_Score_Rooms,Quality_Score_Bathroom,Quality_Score_Bedroom,Quality_Score_Overall,Registration_Fee,Commission,Sale_Price,Sale_Year,Build_Year,Building_Age
Karapakkam,1004,131,1,1,3,Ab Normal,Yes,Commercial,AllPub,Paved,A,4,3,4,4,380000,144400,7600000,2011,1967,44
Anna Nagar,1986,26,2,1,5,Ab Normal,No,Commercial,AllPub,Gravel,RH,4,4,2,3,760122,304049,21717770,2006,1995,11
Adyar,909,70,1,1,3,Ab Normal,Yes,Commercial,AllPub,Gravel,RL,4,3,2,3,421094,92114,13159200,2012,1992,20
Velachery,1855,14,3,2,5,Family,No,Others,NoSeWa,Paved,I,4,3,3,4,356321,77042,9630290,2010,1988,22
Karapakkam,1226,84,1,1,3,Ab Normal,Yes,Others,AllPub,Gravel,C,3,2,4,3,237000,74063,7406250,2009,1979,30
Chrompet,1220,36,2,1,4,Partial,No,Commercial,NoSeWa,No Access,RH,4,2,3,3,409027,198316,12394750,2014,2009,5
Chrompet,1167,137,1,1,3,Partial,No,Others,AllPub,No Access,RL,3,2,2,2,263152,33955,8488790,2007,1979,28
Velachery,1847,176,3,2,5,Family,No,Commercial,AllPub,Gravel,RM,2,4,2,3,604809,235204,16800250,2006,1996,10
Chrompet,771,175,1,1,2,AdjLand,No,Others,NoSeWa,Paved,RM,2,3,4,3,257578,33236,8308970,2011,1977,34
Velachery,1635,74,2,1,4,Ab Normal,No,Others,AllPub,No Access,I,3,3,3,3,323346,121255,8083650,2006,1991,15
Chrompet,1203,78,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4,3,4,3,403326,119504,14938000,2006,1978,28
Chrompet,1054,143,1,1,3,Partial,No,Others,NoSeWa,Gravel,RM,2,3,3,2,245693,141746,9449730,2009,1972,37
Chrompet,1196,137,1,1,3,Family,No,Others,NoSeWa,No Access,RL,2,2,2,2,289554,35097,8774370,2010,1991,19
Adyar,1056,83,1,1,3,Partial,Yes,Others,NoSeWa,Paved,RH,2,3,3,3,319141,37546,9386490,2007,1981,26
Velachery,1865,157,3,2,5,Family,No,Commercial,NoSeWa,Paved,RM,4,2,4,3,619987,294494,15499680,2010,1956,54
Velachery,1868,148,3,2,5,Family,No,Commercial,NoSeWa,Gravel,RH,3,3,3,3,597135,188569,15714080,2009,2000,9
Karapakkam,1639,175,2,2,4,Normal Sale,Yes,House,AllPub,Gravel,I,2,3,4,3,285648,77904,8656000,2009,1991,18
Chrompet,796,134,1,1,2,AdjLand,Yes,Commercial,AllPub,No Access,RL,3,4,4,4,316464,130951,10912550,2011,1975,36
Adyar,1136,69,1,1,3,Normal Sale,Yes,Others,AllPub,Paved,A,4,2,2,3,323214,49725,8287550,2008,1978,30
Anna Nagar,1902,168,2,1,5,Family,Yes,Commercial,AllPub,Paved,RL,4,4,4,4,742113,212032,21203240,2012,1970,42
Chrompet,1069,53,1,1,3,Ab Normal,Yes,Others,NoSeWa,Paved,RM,2,2,4,3,283544,43622,10905530,2013,2009,4
Chrompet,931,96,1,1,3,Ab Normal,Yes,Others,AllPub,Paved,RL,4,3,3,3,248021,27558,9185970,2008,1986,22
KK Nagar,2010,114,3,2,5,Partial,No,Others,NoSeWa,Gravel,RH,3,4,3,3,327762,262210,10925400,2009,1999,10
Chrompet,1074,100,1,1,3,Ab Normal,No,Others,NoSeWa,Gravel,RL,3,3,4,3,288821,86646,9627380,2010,1994,16
T Nagar,1972,111,2,1,5,AdjLand,No,Others,NoSeWa,No Access,RH,4,4,2,3,487297,167073,13922760,2013,2008,5
T Nagar,1685,105,1,1,4,Family,No,House,NoSeWa,Gravel,RM,2,4,4,3,352830,176415,12601080,2014,1980,34
Adyar,1130,29,1,1,3,Family,Yes,Commercial,AllPub,Paved,RH,2,2,2,2,468417,53533,13383350,2011,1981,30
Karapakkam,1301,59,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,C,2,2,3,3,357283,71457,7939625,2010,2003,7
Adyar,730,185,1,1,2,AdjLand,Yes,House,AllPub,Gravel,RL,2,4,4,4,265449,53090,8848285,2011,1972,39
T Nagar,1806,138,2,1,5,Family,No,House,NoSeWa,Paved,RH,4,5,3,3,430852,113382,11338200,2013,1978,35
Anna Nagar,1981,173,2,1,5,AdjLand,No,House,AllPub,No Access,RL,2,3,3,2,373300,218831,12872430,2009,2000,9
Adyar,868,15,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,2,2,2,2,325514,72336,9042050,2011,2001,10
T Nagar,1721,117,1,1,4,AdjLand,Yes,Others,AllPub,Paved,RM,2,2,2,2,416483,223116,14874380,2012,1992,20
Velachery,1755,16,2,1,4,AdjLand,Yes,Others,AllPub,Gravel,A,4,4,4,4,306671,173780,10222380,2006,1987,19
